player,MP,3PAr,FTr,TS%,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,paint_rebounding_norm,3catch_and_shoot_norm,pullupshoot_norm,tm,labels
Aaron Brooks,13.8,0.427,0.133,0.507,2.3,6.3,20.7,1.4,0.9,17.2,19.2,-2.1,-2.6,2.9601,1.259388,12.38895,IND,2
Aaron Gordon,28.7,0.309,0.251,0.53,5.3,14.1,10.5,1.4,1.4,8.5,20.1,-0.2,-0.4,4.3342166,4.67236,30.175467,ORL,7
Al Horford,32.3,0.302,0.169,0.553,4.9,18.6,24.4,1.2,3.3,11.9,19.8,1.0,2.1,5.1638979,11.775288,12.334078,BOS,1
Al Jefferson,14.1,0.002,0.18,0.526,9.2,24.2,11.0,1.0,1.5,6.1,26.1,-1.5,-1.5,2.7992871,0.0,3.029103,IND,0
Al-Farouq Aminu,29.1,0.455,0.292,0.506,4.8,23.5,7.9,1.7,2.0,15.2,15.4,-2.3,1.2,5.0269086,13.954032,5.978304,POR,6
Alex Abrines,15.5,0.724,0.144,0.56,1.9,7.1,5.5,1.7,0.6,8.3,15.9,-0.3,-2.2,1.8612865,12.656835,4.09572,OKC,9
Alex Len,20.3,0.026,0.449,0.553,10.6,25.3,4.2,1.1,5.1,15.5,17.6,-3.0,1.2,3.64385,0.01624,0.825398,PHO,4
Allen Crabbe,28.5,0.467,0.192,0.602,0.9,10.2,6.1,1.2,0.7,8.1,14.9,0.3,-1.4,2.0703825,19.99161,23.08842,POR,3
Amir Johnson,20.1,0.178,0.27,0.628,8.2,17.0,13.0,1.6,3.2,15.7,13.6,-0.2,2.4,5.0304672,0.91656,1.3065,BOS,4
Andre Drummond,29.7,0.008,0.39,0.518,15.1,36.3,5.9,2.6,3.1,12.5,22.4,-2.1,2.9,5.3288928,0.001782,6.375105,DET,4
Andre Iguodala,26.3,0.427,0.246,0.624,3.0,13.1,16.7,1.8,1.5,11.2,11.2,1.3,1.7,3.8031378,7.220402,11.91916,GSW,6
Andre Roberson,30.1,0.397,0.24,0.51,4.6,14.2,4.6,1.9,2.7,9.1,10.1,-2.1,2.1,5.6638568,6.127758,0.97825,OKC,6
Andrew Harrison,20.5,0.433,0.539,0.477,1.7,9.0,20.0,1.9,1.3,16.0,16.4,-2.4,0.0,0.9209215,1.7507,12.133335,MEM,2
Andrew Wiggins,37.2,0.184,0.345,0.534,3.9,8.8,10.6,1.4,0.8,9.4,29.0,0.2,-2.9,10.5336264,3.666432,116.260416,MIN,5
Anthony Davis,36.1,0.088,0.424,0.579,6.7,27.9,11.1,1.7,5.1,9.1,32.6,1.4,2.3,4.7366088,1.509702,69.866496,NOP,12
Anthony Tolliver,22.7,0.655,0.234,0.595,4.0,14.5,7.7,1.1,1.2,12.6,13.6,0.2,-0.8,2.3337416,19.965558,1.428284,SAC,3
Aron Baynes,15.5,0.0,0.337,0.57,10.0,21.6,3.9,0.7,2.8,13.5,14.1,-2.9,1.1,3.15549,0.0,0.0,DET,0
Arron Afflalo,25.9,0.36,0.221,0.559,0.7,8.4,7.4,0.7,0.4,8.4,14.4,-1.4,-2.0,0.4111107,7.20279,25.008522,SAC,7
Austin Rivers,27.8,0.409,0.261,0.545,1.1,7.5,15.0,1.2,0.4,12.4,20.3,-0.1,-1.5,1.6760064,6.28558,35.755248,LAC,7
Avery Bradley,33.4,0.357,0.12,0.548,4.0,16.2,10.9,1.8,0.5,9.7,21.9,-0.2,-0.4,2.0045344,10.18032,69.533456,BOS,7
Ben McLemore,19.3,0.406,0.222,0.538,1.9,10.8,6.9,1.2,0.5,11.9,20.1,-2.1,-2.7,1.7681888,5.2689,14.860035,SAC,7
Bismack Biyombo,22.1,0.0,0.69,0.546,9.3,25.6,6.0,0.7,4.1,17.7,13.2,-4.2,2.0,3.0165616,0.0,0.5304,ORL,4
Blake Griffin,34.0,0.116,0.434,0.569,6.1,20.2,24.5,1.4,0.9,10.9,28.0,3.2,1.3,4.533628,1.62656,37.8896,LAC,12
Bobby Portis,15.6,0.256,0.157,0.545,8.0,24.0,5.7,0.8,0.9,8.4,19.1,-1.6,-1.5,1.645332,1.8798,6.337656,CHI,0
Bojan Bogdanovic,25.7,0.464,0.288,0.585,1.9,12.3,8.7,0.8,0.3,12.0,22.4,-0.1,-2.8,1.5886455,12.4131,26.5224,TOT,7
Boris Diaw,17.6,0.248,0.107,0.494,4.3,9.8,20.3,0.7,0.6,20.3,15.6,-2.7,-0.2,3.7140224,1.034176,4.6904,UTA,10
Bradley Beal,34.9,0.418,0.259,0.604,2.2,7.8,16.2,1.5,0.7,9.6,26.5,4.5,-2.4,5.81085,20.29086,103.62508,WAS,5
Brandon Bass,11.1,0.016,0.473,0.65,8.6,16.2,5.7,1.2,1.6,11.4,19.7,0.1,-0.8,2.0971008,0.002442,1.293039,LAC,0
Brandon Ingram,28.8,0.273,0.312,0.474,2.8,12.8,10.5,1.1,1.3,12.9,16.8,-3.1,-0.7,2.6661312,3.891168,29.199744,LAL,2
Brandon Jennings,22.2,0.471,0.284,0.479,1.8,10.1,30.4,1.9,0.2,17.5,17.6,-0.8,-2.2,0.0,1.583748,29.51268,TOT,2
Brandon Knight,21.1,0.265,0.293,0.502,2.3,9.1,17.8,1.1,0.4,13.1,25.0,-1.5,-3.0,2.4310998,1.178646,38.751838,PHO,2
Brook Lopez,29.6,0.33,0.311,0.578,5.8,13.3,14.8,0.8,4.2,12.1,29.2,1.9,-0.4,9.4128,13.755712,23.670528,BRK,1
Buddy Hield,23.0,0.493,0.099,0.54,2.0,13.5,10.3,1.0,0.4,11.2,21.4,-0.9,-1.9,1.12056,8.81084,38.7504,TOT,7
CJ McCollum,35.0,0.305,0.204,0.585,2.4,9.2,18.0,1.3,1.2,9.9,27.5,3.3,-2.2,6.84817,9.163,154.294,POR,5
